no,category,description,detail,point,suggestPrice,discount25,discount35,discount45,discount50
6,消化健康,濃縮蘆薈汁-原味 Aloe Drink Cntrate,,24.95,"1,588","1,220","1,073",970,853
1065,消化健康,濃縮蘆薈汁-芒果口味 Aloe Drink Cntrate-Mango,,24.95,"1,588","1,220","1,073",970,853
1610,消化健康,濃縮蘆薈汁-葡萄口味 Aloe Drink Cntrate-Grape,,24.95,"1,588","1,220","1,073",970,853
1829,消化健康,賀寶芙益生菌 Simply Probiotic,,20.45,"1,260",968,852,770,676
36,循環健康,夜寧新 Niteworks,,89.95,"5,005","3,846","3,382","3,058","2,687"
65,循環健康,深海魚油膠囊 Herbalifeline,,25.75,"1,624","1,248","1,097",992,873
100,循環健康,南極磷蝦油膠囊 Tri-Shield ,,35.50,"2,062","1,584","1,393","1,260","1,107"
565,行動靈活,複合優質鈣片 Xtra-Cal Advanced,,10.70,676,520,457,413,363
1000,行動靈活,關捷寶營養錠 Joint Support,,44.00,"2,811","2,160","1,899","1,717","1,509"
2841,晶彩視界,賀視愛營養錠 Healthy I,,38.75,"2,266","1,741","1,531","1,384","1,217"
56,女性保養,膠原蛋白美妍飲 Beauty Powder Drink,,43.55,"2,642","2,030","1,785","1,614","1,419"
566,女性保養,當歸錠 Tang Kuei ,,13.30,784,603,530,479,421
279,女性保養,複合莓菁華膠囊 Triple Berry Complex,,13.95,917,705,620,560,492
742Z,全方位營養產品組,均衡營養早餐組 Nutrition Balance Breakfast Set,營養蛋白混合飲料 - 香草、優質蛋白粉、營養纖維粉 - 原味,62.90,"4,194","3,222","2,834","2,562","2,251"
743Z,全方位營養產品組,活力營養早餐組 Healthy Energy Breakfast set,營養蛋白混合飲料 - 巧克力、濃縮蘆薈汁 - 原味、瓜拿那豆速溶茶飲,61.70,"3,968","3,049","2,682","2,424","2,130"
744Z,全方位營養產品組,促進代謝早餐組 Enhance Metabolism Breakfast set,營養蛋白混合飲料 - 芒果、濃縮蘆薈汁 - 原味、草本濃縮速溶茶飲 - 原味,81.90,"4,899","3,764","3,311","2,993","2,630"
347T,全方位營養產品組,體重管理組 Weight Management set,營養蛋白混合飲料 - 草苺、細喜錠、草維錠、草本濃縮速溶茶飲 - 原味,82.70,"4,492","3,451","3,036","2,745","2,412"
746Z,全方位營養產品組,兒童營養組 KIDS NUTRITION SET ,兒童營養蛋白混合飲料、益生菌、活力點心棒 - 檸檬,48.10,"3,234","2,545","2,269","2,076","1,855"
174Z,全方位營養產品組,運動營養組 SPORTS NUTRITION SET ,運動營養飲、CR7 勁能飲、賦活能量飲,121.25,"7,425","5,729","5,051","4,576","4,034"
614Z,擁抱年輕營養產品組,靈活健康組 JOINT AND BONE HEALTH SET,複合優質鈣片、關捷寶,54.70,"3,487","2,680","2,356","2,130","1,872"
615Z,擁抱年輕營養產品組,消化健康組 DIGESTIVE HEALTH SET,濃縮蘆薈汁 - 原味、纖維粉 - 原味、益生菌,68.35,"4,318","3,318","2,918","2,638","2,317"
616Z,擁抱年輕營養產品組,青春健康組 ANTI-AGING HEALTH SET,膠原蛋白美妍飲、複合莓菁華膠囊、當歸錠,70.80,"4,343","3,337","2,935","2,653","2,331"
366Z,擁抱年輕營養產品組,思緒清晰組 THINKING AND EYE HEALTH SET,賀視愛、深海魚油膠囊,64.50,"3,890","2,989","2,629","2,377","2,088"
618Z,擁抱年輕營養產品組,循環健康組 HEART HEALTH SET,夜寧新、深海魚油膠囊、南極磷蝦油膠囊,151.20,"8,692","6,679","5,874","5,310","4,666"
321Z,美食必備產品組,美食三寶 Weight management enhancer set,甲殼纖維素、細喜錠、享孅錠,74.00,"4,137","3,179","2,796","2,528","2,222"
362Z,保護力,防護升級-必備三法寶 Herbal Nutrition set,Liftoff 活力發泡錠 –檸檬蘭姆、蔬果營養錠 Garden 7、草維錠,65.90,"3,591","2,759","2,427","2,193","1,928"
011K,咖啡系列,金質冰咖啡-摩卡 Ice Coffee Drink Mix - Mocha,,25.75,"1,559","1,198","1,054",953,838
012K,咖啡系列,金質冰咖啡-拿鐵 Ice Coffee Drink Mix - Latte,,25.75,"1,559","1,198","1,054",953,838
765,肌膚保養,SKIN 舒顏潔膚凝膠 - Soothing Aloe Cleanser,,16.75,818,629,552,500,439
766,肌膚保養,SKIN 煥顏潔膚凝膠 - Polishing Citrus Cleanser,,16.75,818,629,552,500,439
767,肌膚保養,SKIN 草本化妝水 -  Energizing Herbal Toner,,12.70,620,476,419,378,333
891,肌膚保養,SKIN 草本化妝水 150ml -  Energizing Herbal Toner,,32.30,"1,554","1,194","1,050",949,835
768,肌膚保養,SKIN 防皺極緻精華霜 - SKIN Line Minimizing Serum,,37.70,"1,840","1,413","1,243","1,124",988
769,肌膚保養,SKIN 煥顏日間乳液 - Daily Glow Moisturizer,,28.40,"1,386","1,065",937,846,744
770,肌膚保養,SKIN 緊緻眼膠 - Firming Eye Gel,,26.35,"1,286",988,869,785,691
771,肌膚保養,SKIN 保濕眼霜 - Hydrating Eye Cream,,26.35,"1,286",988,869,785,691
772,肌膚保養,SKIN 瞬采磨砂膏 -  Instant Reveal Berry Scrub,,13.10,641,492,433,392,344
773,肌膚保養,SKIN 深層淨化面膜 - Purifying Mint Clay Mask,,14.20,693,532,468,423,373
774,肌膚保養,SKIN 賦活晚霜 - Replenishing Night Cream,,28.40,"1,386","1,065",937,846,744
899,肌膚保養,SKIN 防曬乳液SPF30/PA+++ - SKIN Protective Moisturizer SPF30/PA+++,,28.40,"1,386","1,065",937,846,744
895,肌膚保養,SKIN 極緻防皺保養組合(中性至乾性)(含禮袋) - SKIN COMPLETED ULTIMATE SET (N/Dry),舒顏潔膚凝膠、草本化妝水 150ml、防皺極緻精華霜、緊緻眼膠、保濕眼霜、煥顏日間乳液、賦活晚霜、瞬采磨砂膏、深層淨化面膜、防曬乳液 SPF30/PA+++,251.95,"12,277","9,433","8,296","7,500","6,591"
896,肌膚保養,SKIN 極緻防皺保養組合(中性至油性)(含禮袋) - SKIN COMPLETED ULTIMATE SET (N/OilY),煥顏潔膚凝膠、草本化妝水 150ml、防皺極緻精華霜、緊緻眼膠、保濕眼霜、煥顏日間乳液、賦活晚霜、瞬采磨砂膏、深層淨化面膜、防曬乳液 SPF30/PA+++,251.95,"12,277","9,433","8,296","7,500","6,591"
378,身體保養,"蘆薈滋潤乳液
Aloe Hand & Body Lotion",,9.00,509,392,344,311,273
379,身體保養,"蘆薈護膚凝露
Aloe Soothing Gel",,9.00,509,392,344,311,273
493,身體保養,蘆薈滋潤沐浴精(400毫升) HA Body Wash-400ML,,12.95,634,487,428,387,341
2564,頭髮保養,蘆薈洗髮露 Herbal Aloe Strengthening Shampoo,,8.30,425,327,288,260,229
2565,頭髮保養,蘆薈護髮露 Herbal Aloe Strengthening Conditioner,,8.30,425,327,288,260,229
111K,肌膚保養,維他命面膜-保濕 Vitamin Facial Mask Moisturiaing,,9.50,491,387,345,317,284
112K,肌膚保養,維他命面膜-美白 Vitamin Facial Mask Brightening,,16.80,822,632,555,503,442
113K,肌膚保養,維他命面膜-緊緻 Vitamin Facial Mask Firming,,23.50,"1,150",884,777,702,617
835Z,肌膚保養,維他命面膜組合 Vitamin Facial Mask Basic Set,維他命面膜 - 保濕、維他命面膜 - 美白、維他命面膜 - 緊緻 ,49.80,"2,464","1,904","1,680","1,523","1,344"
